RISING,percent
lunar eclipse,"+2,400%"
elizabeth edwards,"+2,000%"
qwop,"+1,850%"
santa tracker,"+1,850%"
happy holidays,+650%
wikileaks,+180%
weather channel,+70%
transformers 3,+70%
wowhead,+60%
weather forecast,+60%
barnes and noble,+60%
2011 calendar,+50%
accuweather,+50%
usps,+50%
h&r block,+40%
victoria secret,+40%
macys,+40%
