RISING,percent
andrew koenig,"+1,750%"
lindsey vonn,"+1,350%"
google buzz,"+1,150%"
olympics 2010,+900%
olympics,+800%
winter olympics,+550%
chatroulette,+450%
nascar,+190%
superbowl,+170%
formspring,+150%
urban dictionary,+140%
chile,+110%
mardi gras,+80%
bbb10,+70%
super bowl 2010,+60%
lost,+60%
