RISING,percent
corey haim,"+3,400%"
dancing with the stars,+700%
dancing with the stars 2010 lineup,+550%
oscars 2010,+350%
daylight savings time 2010,+250%
alice in wonderland,+130%
kathryn bigelow,+110%
easter 2010,+90%
justin bieber,+80%
bbb10,+60%
chatroulette,+60%
rush limbaugh,+40%
espn,+40%
