RISING,percent
haiti,"+4,600%"
ipad,"+4,350%"
pants on the ground,"+3,250%"
australian open,"+1,850%"
the bachelor,+950%
heidi montag,+900%
earthquake,+800%
turbo tax,+600%
turbotax,+600%
american idol,+450%
super bowl 2010,+300%
american red cross,+200%
fafsa,+150%
irs,+120%
att wireless,+120%
