RISING
royal wedding,"+2,400%"
charlie chaplin,"+2,350%"
ice cream sundae,"+1,200%"
playstation network down,"+1,150%"
john james audubon,"+1,000%"
portal 2,+800%
government shutdown,+650%
kate middleton,+650%
helvetica,+450%
mothers day 2011,+450%
skylar diggins,+400%
insidious,+200%
tilt,+90%
mlb,+90%
nhl,+90%
yankees,+80%
donald trump,+80%
jc penny,+50%
nba,+40%
minecraft,+40%
