RISING
troy davis,"+4,700%"
jim henson,"+1,350%"
scarlett johansson leaked photos 2011,"+1,350%"
listeria,+650%
dead island,+600%
two and a half men,+250%
satellite falling to earth,+250%
chaz bono,+250%
us open tennis,+200%
us open,+190%
espn fantasy football,+140%
edline,+120%
espn3,+100%
pinterest,+90%
iphone 5,+80%
cbs,+80%
espn.com,+70%
survivor,+70%
nfl,+70%
iphone 5 release date,+60%
nfl.com,+60%
espn,+60%
party city,+60%
dictionary.com,+50%
