RISING
serene branson,+750%
thomas edison,+500%
amanda knox,+400%
charlie sheen,+190%
nascar,+150%
justin bieber,+150%
edible arrangements,+130%
james franco,+120%
al jazeera,+110%
super bowl,+90%
glee,+90%
dragon age 2,+60%
rihanna,+60%
turbo tax,+50%
easter 2011,+50%
super bowl 2011,+50%
irs.gov,+50%
aol mail,+50%
